"Gene"	"baseMean"	"log2FoldChange"	"pval"	"pvalsGLM"	"Copies"	"REP"
"45"	"REP_Lx4B"	754.74098548967	0.12763893613835	0.438258482944657	0.424571628435743	662	TRUE
"46"	"REP_Lx5"	24684.1355516492	0.150352723055787	0.170041404512772	0.238634270504634	1879	TRUE
"47"	"REP_Lx6"	1427.81479494678	0.04572822478891	0.745147304308094	0.747845464322134	1331	TRUE
"48"	"REP_Lx7"	977.131286826616	-0.017497402464068	1	0.938916644376476	1435	TRUE
"49"	"REP_Lx8"	303.745917654259	-0.367727034364496	0.165381887811612	0.165080842859712	425	TRUE
"50"	"REP_Lx9"	483.078204611464	0.0482500851324024	0.83096557442395	0.854401753969906	513	TRUE
"51"	"REP_MER31-int"	20.8134803044936	-0.264958469470534	0.713627443406078	0.722590413398011	1	TRUE
"52"	"REP_MERVK26-int"	215.861818332468	0.900694787573751	0.00286143292934035	0.0124690115144886	106	TRUE
"53"	"REP_MERVL_2A-int"	5502.79667102402	0.127733775351518	0.24161046733654	0.294782523290223	330	TRUE
"54"	"REP_MERVL-int"	31064.3851150981	2.60221888722752	0.063907086940849	0.089172499072971	801	TRUE
"55"	"REP_MMERGLN-int"	58415.7321234054	-0.390811166767173	0.000318041853602844	4.88429390470557e-05	150	TRUE
"56"	"REP_MMERVK10C-int"	5119.73555673664	1.36837757192398	2.78701179104419e-06	1.39015901320372e-05	485	TRUE
"57"	"REP_MMETn-int"	530751.301096504	0.0152646108961785	0.908688033450142	0.967143687588757	388	TRUE
"58"	"REP_MMSAT4"	29911.5639845128	0.2365042916437	0.167307769984591	0.0815200767659088	19	TRUE
"59"	"REP_MMTV-int"	82.72305632733	-0.00756933122527932	0.980219011788365	0.984835695196197	17	TRUE
"60"	"REP_MMVL30-int"	2317.02619543996	0.144951110824527	0.326287772848632	0.36069146756942	151	TRUE
"61"	"REP_MTA_Mm-int"	3012.37509193189	0.0144363025548021	0.965208663847764	0.932497651868015	638	TRUE
"62"	"REP_MTB_Mm-int"	42.9782998183935	-0.3093411925968	0.601859748351975	0.582214786741818	34	TRUE
"63"	"REP_MTB-int"	278.594054232838	-0.020702861454829	0.934765801852807	0.925472717770674	81	TRUE
"64"	"REP_MTC-int"	123.658005001193	-0.00761051143656209	0.918928740977053	0.986027621001158	99	TRUE
"65"	"REP_MTD-int"	57.3182534924065	0.746663600353495	0.202752668602948	0.254972431504917	39	TRUE
"66"	"REP_MTE-int"	91.070029353304	0.523371985480453	0.486884956736313	0.437136233930131	29	TRUE
"67"	"REP_MTEa-int"	146.707998688864	1.77281179400041	1.74718009265497e-05	6.4741875409724e-05	25	TRUE
"68"	"REP_MuLV-int"	3789.24932926079	0.424238981010479	0.00674280023160994	0.00542296644739315	38	TRUE
"69"	"REP_MurERV4_19-int"	246.143667811991	0.082351503203355	0.80150229485311	0.771966103062555	121	TRUE
"70"	"REP_MurERV4-int"	1158.20062512024	-0.109849964094628	0.515526684241997	0.507198378127144	163	TRUE
"71"	"REP_MuRRS-int"	290.427294511158	0.297184220554828	0.212873909847193	0.22267016577729	109	TRUE
"72"	"REP_MuRRS4-int"	845.453604279671	0.565113952640318	0.00196458235522385	0.0108052363254624	141	TRUE
"73"	"REP_MurSatRep1"	31396.7069487938	0.00218255317451715	0.894993527711168	0.794126072057422	162	TRUE
"74"	"REP_MURVY-int"	28.3770106318538	0.796932060667444	0.335213653967385	0.429344233411555	13	TRUE
"75"	"REP_MusHAL1"	937.55891158588	0.209579764279481	0.207683351231307	0.231238758897306	445	TRUE
"76"	"REP_MYSERV-int"	102.344112077142	-0.494204702659339	0.239751897974368	0.233321647086711	61	TRUE
"77"	"REP_MYSERV16_I-int"	255.244307256179	0.121850456776427	0.648061723753484	0.658707964436676	209	TRUE
"78"	"REP_MYSERV6-int"	941.549912235727	0.0604490004234314	0.656758792408927	0.797905376842925	232	TRUE
"79"	"REP_ORR1A0-int"	7554.4920561584	0.0682566559802179	0.677962684191523	0.641321284002692	245	TRUE
"80"	"REP_ORR1A1-int"	2148.19288677257	-0.224792288424305	0.401826598182041	0.45916379951601	266	TRUE
"81"	"REP_ORR1A2-int"	2304.95238037287	-0.215175296898617	0.111734519790939	0.112510240427069	514	TRUE
"82"	"REP_ORR1A3-int"	677.768723412245	-0.300433181632936	0.108838161697821	0.0810251682198914	153	TRUE
"83"	"REP_ORR1A4-int"	5369.84835355785	-0.121438975328054	0.348779488429334	0.37177136889758	292	TRUE
"84"	"REP_ORR1B1-int"	2179.87225843594	-0.1292058316953	0.416299940434265	0.398146931550336	275	TRUE
"85"	"REP_ORR1B2-int"	53.068401724835	-0.377975425296939	0.538630760131905	0.559678281086219	70	TRUE
"86"	"REP_ORR1C1-int"	49.774223865321	-0.238808552095951	0.691666449186891	0.705671738335045	67	TRUE
"87"	"REP_ORR1C2-int"	75.1102437832725	-0.624290101093907	0.161209666045609	0.151632125573438	58	TRUE
"88"	"REP_ORR1D1-int"	100.66998715403	-0.0220129141481288	0.935278602629914	0.952458528679036	76	TRUE
"89"	"REP_RLTR10-int"	581.660756191333	0.49141372448653	0.0142218071610864	0.0144906172411446	203	TRUE
"90"	"REP_RLTR13A3"	30.9863589977621	0.759151329214302	0.386954018572081	0.319491370298879	10	TRUE
"91"	"REP_RLTR13D2"	258.039629660563	-0.37295708136609	0.184807064874983	0.125317225284376	14	TRUE
"92"	"REP_RLTR13D5"	91.3328173237771	-0.232273561591198	0.656045998285975	0.67664749255681	42	TRUE
"93"	"REP_RLTR13D6"	32.7693600485953	0.0129525558411706	0.96676537144293	0.960128793617394	35	TRUE
"94"	"REP_RLTR14-int"	116.637870304388	0.0346305316997914	0.899788882599526	0.913642454203357	84	TRUE
"95"	"REP_RLTR17"	1258.66532011727	0.0113413663845478	0.892815754695336	0.942245340556372	8	TRUE
"96"	"REP_RLTR19-int"	1830.79928771727	-0.485977635743836	0.00119466569849749	0.00131873989190012	46	TRUE
"97"	"REP_RLTR1B-int"	43628.6093708214	1.45327402954859	1.06275099735522e-17	0	165	TRUE
"98"	"REP_RLTR20A2"	28.2684346421316	0.394048387369254	0.62751135526672	0.689368654526799	2	TRUE
"99"	"REP_RLTR21"	80.4610281844956	0.35124440362258	0.426369219891812	0.468038098979306	48	TRUE
"100"	"REP_RLTR22_Mur"	101.253968525679	0.270882843306476	0.544851092886873	0.524073527927705	129	TRUE
"101"	"REP_RLTR22_Mus"	110.222850836166	-0.423683490811102	0.230956967229826	0.251809289950646	36	TRUE
"102"	"REP_RLTR25A"	18.0717785106246	0.0546173646471131	1	0.951867673601479	15	TRUE
"103"	"REP_RLTR4_MM-int"	8237.02962605857	0.916289889453237	0.0117808190036779	0.0288233917152766	82	TRUE
